,team_name,player_name,player_id,position,started,played,minutes,fg_made,fg_attempted,three_pt_made,three_pt_attempted,ft_made,ft_attempted,oreb,dreb,reb,ast,stl,blk,to,pf,plusminus,pts,matchup_id
0,CHI,carlos-boozer,1703,PF,yes,yes,24,3,7,0,0,2,2,2,6,8,0,0,0,1,5,-15,8,400553102
1,CHI,joakim-noah,3224,C,yes,yes,40,4,9,0,0,2,3,5,10,15,5,1,2,3,4,-8,10,400553102
2,CHI,mike-dunleavy,1708,SG,yes,yes,35,3,8,0,2,0,0,1,4,5,2,0,0,1,1,-18,6,400553102
3,CHI,kirk-hinrich,1981,SG,yes,yes,36,3,12,1,5,0,0,0,1,1,7,0,0,4,2,-6,7,400553102
4,CHI,jimmy-butler,6430,SG,yes,yes,38,5,14,2,7,4,4,1,2,3,3,0,0,1,1,-11,16,400553102
5,CHI,taj-gibson,3986,PF,no,yes,32,13,16,0,0,6,7,4,3,7,1,1,1,3,3,5,32,400553102
6,CHI,dj-augustin,3415,PG,no,yes,22,3,10,1,4,1,1,0,1,1,4,0,0,2,5,9,8,400553102
7,CHI,tony-snell,2528353,SG,no,yes,13,1,2,0,1,0,0,0,2,2,0,0,1,1,1,-1,2,400553102
8,CHI,lou-amundson,3041,PF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553102
9,CHI,ronnie-brewer,2991,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553102
10,CHI,nazr-mohammed,568,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553102
11,CHI,jimmer-fredette,6434,PG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553102
12,CHI,mike-james,1051,PG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553102
13,WSH,trevor-booker,4270,PF,yes,yes,28,4,10,0,0,0,0,6,3,9,1,0,3,0,6,0,8,400553102
14,WSH,trevor-ariza,2426,SF,yes,yes,38,10,17,6,10,4,5,1,7,8,0,2,0,0,1,12,30,400553102
15,WSH,marcin-gortat,2758,C,yes,yes,35,6,18,0,0,5,8,3,3,6,5,0,1,1,2,24,17,400553102
16,WSH,john-wall,4237,PG,yes,yes,39,4,15,0,1,7,8,1,2,3,10,2,0,2,0,8,15,400553102
17,WSH,bradley-beal,6580,SG,yes,yes,40,7,13,2,3,2,2,2,3,5,3,1,0,1,1,11,18,400553102
18,WSH,al-harrington,308,PF,no,yes,5,0,1,0,1,0,0,0,1,1,0,0,0,1,2,-4,0,400553102
19,WSH,drew-gooden,1711,PF,no,yes,26,1,4,0,1,0,0,1,1,2,1,1,1,0,5,-3,2,400553102
20,WSH,martell-webster,2795,SF,no,yes,19,3,6,0,3,2,2,0,3,3,0,1,0,1,0,-2,8,400553102
21,WSH,kevin-seraphin,4289,C,no,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,400553102
22,WSH,andre-miller,557,PG,no,yes,9,0,2,0,0,0,0,0,1,1,2,1,0,0,1,1,0,400553102
23,WSH,otto-porter-jr,2594922,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553102
24,WSH,garrett-temple,4023,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553102
25,WSH,nene,1713,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553102
26,IND,david-west,2177,PF,yes,yes,35,7,13,1,1,3,6,0,5,5,2,3,2,1,1,13,18,400553062
27,IND,paul-george,4251,SF,yes,yes,44,10,18,4,7,0,2,1,9,10,5,0,2,2,3,6,24,400553062
28,IND,roy-hibbert,3436,C,yes,yes,25,3,5,0,0,0,0,2,1,3,0,0,2,0,2,-2,6,400553062
29,IND,george-hill,3438,PG,yes,yes,36,5,8,2,4,3,4,1,2,3,5,2,1,1,3,9,15,400553062
30,IND,lance-stephenson,4244,SG,yes,yes,26,2,9,1,7,0,0,0,9,9,1,0,2,4,3,1,5,400553062
31,IND,luis-scola,1781,PF,no,yes,21,2,7,0,0,0,0,1,4,5,2,0,0,0,0,0,4,400553062
32,IND,evan-turner,4239,SF,no,yes,21,4,8,1,2,2,2,0,2,2,4,0,0,2,2,-1,11,400553062
33,IND,ian-mahinmi,2774,C,no,yes,15,1,1,0,0,0,0,2,1,3,0,0,2,0,4,-5,2,400553062
34,IND,cj-watson,3277,PG,no,yes,18,3,8,0,2,0,0,1,2,3,3,2,0,0,1,-6,6,400553062
35,IND,lavoy-allen,6424,PF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553062
36,IND,chris-copeland,6635,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553062
37,IND,rasual-butler,1767,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553062
38,IND,donald-sloan,4303,PG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553062
39,ATL,paul-millsap,3015,PF,yes,yes,37,10,18,3,6,6,6,2,5,7,2,1,3,3,4,0,29,400553062
40,ATL,pero-antic,2585616,PF,yes,yes,25,1,6,0,3,0,0,2,0,2,2,1,1,2,4,2,2,400553062
41,ATL,demarre-carroll,3970,SF,yes,yes,40,1,6,1,2,0,0,1,6,7,4,1,0,0,5,-8,3,400553062
42,ATL,jeff-teague,4015,PG,yes,yes,35,5,15,2,5,2,2,2,4,6,7,0,0,4,2,-7,14,400553062
43,ATL,kyle-korver,2011,SG,yes,yes,37,4,9,3,8,4,4,0,9,9,0,1,0,1,0,4,15,400553062
44,ATL,elton-brand,91,PF,no,yes,8,0,1,0,0,0,0,0,1,1,1,0,0,0,0,-12,0,400553062
45,ATL,mike-scott,6622,PF,no,yes,26,4,15,1,4,3,3,1,2,3,1,0,0,0,2,4,12,400553062
46,ATL,cartier-martin,3930,PF,no,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,400553062
47,ATL,shelvin-mack,6454,PG,no,yes,14,3,6,1,2,0,0,1,2,3,4,0,0,0,1,2,7,400553062
48,ATL,lou-williams,2799,SG,no,yes,17,2,7,0,1,2,2,0,3,3,1,4,0,2,0,2,6,400553062
49,ATL,mike-muscala,2490089,PF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553062
50,ATL,dennis-schroder,3032979,PG,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553062
51,OKC,serge-ibaka,3439,PF,yes,yes,30,3,6,0,1,2,2,1,6,7,1,0,4,0,1,19,8,400553074
52,OKC,kevin-durant,3202,SF,yes,yes,43,11,23,0,6,14,15,2,8,10,2,1,1,3,3,27,36,400553074
53,OKC,caron-butler,1705,SF,yes,yes,29,2,5,2,4,1,2,0,4,4,3,1,0,0,0,13,7,400553074
54,OKC,kendrick-perkins,2018,C,yes,yes,19,3,4,0,0,0,0,1,6,7,0,1,0,2,2,6,6,400553074
55,OKC,russell-westbrook,3468,PG,yes,yes,39,9,21,1,2,6,6,2,7,9,5,3,0,4,2,21,25,400553074
56,OKC,nick-collison,1978,F,no,yes,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,400553074
57,OKC,perry-jones,6598,SF,no,yes,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,400553074
58,OKC,steven-adams,2991235,C,no,yes,20,1,2,0,0,0,0,0,3,3,0,0,5,2,4,2,2,400553074
59,OKC,derek-fisher,246,PG,no,yes,19,1,4,0,3,0,0,1,0,1,1,1,0,0,2,1,2,400553074
60,OKC,reggie-jackson,6443,PG,no,yes,29,6,9,4,5,0,0,1,4,5,2,0,1,2,3,12,16,400553074
61,OKC,jeremy-lamb,6603,SG,no,yes,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,400553074
62,OKC,thabo-sefolosha,3028,SF,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553074
63,OKC,hasheem-thabeet,4016,C,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400553074
64,MEM,zach-randolph,1017,PF,yes,yes,35,7,14,0,0,2,4,1,7,8,1,1,0,1,2,-25,16,400553074
65,MEM,tayshaun-prince,1724,SF,yes,yes,16,0,1,0,0,0,0,1,0,1,1,0,0,1,2,-12,0,400553074
66,MEM,marc-gasol,3206,C,yes,yes,33,6,13,0,0,5,6,0,5,5,4,1,0,2,2,-17,17,400553074
67,MEM,mike-conley,3195,PG,yes,yes,28,2,10,0,2,1,2,1,3,4,6,1,0,2,3,-21,5,400553074
