,team_name,player_name,player_id,position,started,played,minutes,fg_made,fg_attempted,three_pt_made,three_pt_attempted,ft_made,ft_attempted,oreb,dreb,reb,ast,stl,blk,to,pf,plusminus,pts,matchup_id
0,IND,jeff-foster,250.0,PF,yes,yes,23,1,2,0,0,0,0,4,2,6,2,3,1,1,6,7,2,310102018.0
1,IND,danny-granger,2760.0,SF,yes,yes,39,9,23,2,4,5,6,7,10,17,0,0,0,4,3,-2,25,310102018.0
2,IND,darren-collison,3973.0,PG,yes,yes,32,9,17,3,3,1,1,3,2,5,6,2,0,2,0,-1,22,310102018.0
3,IND,mike-dunleavy,1708.0,SG,yes,yes,26,2,7,0,4,0,1,1,2,3,2,0,1,0,1,-6,4,310102018.0
4,IND,brandon-rush,3457.0,SG,yes,yes,34,6,17,0,5,0,0,0,7,7,1,3,0,2,5,2,12,310102018.0
5,IND,tyler-hansbrough,3991.0,PF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310102018.0
6,IND,solomon-jones,3010.0,PF,no,yes,6,1,2,0,0,0,0,0,0,0,1,0,0,3,2,-7,2,310102018.0
7,IND,josh-mcroberts,3220.0,PF,no,yes,11,1,4,0,0,2,5,2,3,5,0,0,0,0,0,2,4,310102018.0
8,IND,paul-george,4251.0,SF,no,yes,9,2,4,1,2,0,0,2,1,3,0,0,2,0,5,-6,5,310102018.0
9,IND,james-posey,671.0,SF,no,yes,19,1,5,1,5,0,0,0,6,6,0,0,0,0,1,0,3,310102018.0
10,IND,roy-hibbert,3436.0,C,no,yes,16,4,9,0,0,2,4,1,3,4,2,0,0,0,2,-6,10,310102018.0
11,IND,aj-price,4010.0,PG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,310102018.0
12,IND,tj-ford,1979.0,PG,no,yes,25,1,9,0,1,1,2,1,0,1,5,2,0,2,1,-13,3,310102018.0
13,IND,lance-stephenson,4244.0,SG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,310102018.0
14,IND,dahntay-jones,2008.0,SG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,310102018.0
15,NY,wilson-chandler,3194.0,SF,yes,yes,38,2,6,2,3,4,4,0,6,6,2,0,1,0,4,-2,10,310102018.0
16,NY,danilo-gallinari,3428.0,SF,yes,yes,30,5,8,0,1,9,11,2,3,5,1,0,0,0,0,-8,19,310102018.0
17,NY,amare-stoudemire,1727.0,C,yes,yes,37,9,24,0,0,8,13,4,4,8,2,2,2,3,4,-5,26,310102018.0
18,NY,raymond-felton,2753.0,PG,yes,yes,38,5,13,0,2,4,7,0,1,1,2,2,0,5,0,2,14,310102018.0
19,NY,landry-fields,4274.0,SG,yes,yes,13,3,5,2,4,2,2,1,4,5,0,0,2,1,1,-6,10,310102018.0
20,NY,anthony-randolph,3455.0,SF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310102018.0
21,NY,henry-walker,3464.0,SF,no,yes,11,0,1,0,1,0,0,0,1,1,1,0,0,0,0,7,0,310102018.0
22,NY,kelenna-azubuike,2821.0,SF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,310102018.0
23,NY,shawne-williams,3038.0,SF,no,yes,17,2,3,1,1,0,0,1,4,5,0,0,1,0,3,4,5,310102018.0
24,NY,timofey-mozgov,4298.0,C,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310102018.0
25,NY,eddy-curry,990.0,C,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310102018.0
26,NY,ronny-turiaf,2789.0,C,no,yes,28,1,3,0,0,0,1,0,10,10,1,1,6,1,4,16,2,310102018.0
27,NY,toney-douglas,3979.0,PG,no,yes,29,4,10,2,5,2,2,1,3,4,7,2,0,1,1,22,12,310102018.0
28,NY,andy-rautins,4285.0,SG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,310102018.0
29,NY,roger-mason-jr,1721.0,SG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310102018.0
30,NY,carmelo-anthony,1975.0,PF,yes,yes,36,10,20,3,5,6,7,2,7,9,2,0,0,4,4,-9,29,310315011.0
31,NY,shawne-williams,3038.0,SF,yes,yes,34,4,7,2,3,0,0,2,4,6,1,1,0,0,3,0,10,310315011.0
32,NY,amare-stoudemire,1727.0,C,yes,yes,34,7,17,0,0,7,9,1,9,10,1,0,2,2,5,-5,21,310315011.0
33,NY,chauncey-billups,63.0,PG,yes,yes,31,5,11,0,4,4,4,0,0,0,5,2,0,3,2,-20,14,310315011.0
34,NY,landry-fields,4274.0,SG,yes,yes,30,5,10,3,5,4,6,2,1,3,5,2,0,2,2,2,17,310315011.0
35,NY,jared-jeffries,1717.0,PF,no,yes,25,2,5,0,1,0,1,3,3,6,0,2,2,1,1,3,4,310315011.0
36,NY,henry-walker,3464.0,SF,no,yes,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,-4,0,310315011.0
37,NY,derrick-brown,3967.0,SF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,310315011.0
38,NY,renaldo-balkman,2986.0,SF,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,310315011.0
39,NY,shelden-williams,3040.0,C,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,310315011.0
40,NY,ronny-turiaf,2789.0,C,no,yes,8,1,3,0,0,0,0,1,3,4,1,0,0,0,2,1,2,310315011.0
41,NY,toney-douglas,3979.0,PG,no,yes,29,5,11,4,6,3,3,1,2,3,4,2,0,1,2,8,17,310315011.0
42,NY,anthony-carter,137.0,PG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310315011.0
43,NY,andy-rautins,4285.0,SG,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,310315011.0
44,NY,roger-mason-jr,1721.0,SG,no,yes,9,1,4,1,2,0,0,0,0,0,2,0,0,0,2,1,3,310315011.0
45,IND,tyler-hansbrough,3991.0,PF,yes,yes,37,12,17,0,0,6,8,1,2,3,0,2,0,2,3,9,30,310315011.0
46,IND,danny-granger,2760.0,SF,yes,yes,35,10,20,2,5,4,5,1,6,7,3,1,2,1,5,4,26,310315011.0
47,IND,paul-george,4251.0,SF,yes,yes,28,2,5,0,1,1,2,0,4,4,3,3,0,2,3,18,5,310315011.0
48,IND,roy-hibbert,3436.0,C,yes,yes,31,5,13,0,0,5,6,6,6,12,5,0,3,3,3,2,15,310315011.0
