,team,season_start_year,season_end_year,season_type,game_month,game_day,game_year,game_date,matchup_id
0,bos,2004,2005,regular,11,3,2004,11/3/2004,241103002
1,bos,2004,2005,regular,11,5,2004,11/5/2004,241105002
2,bos,2004,2005,regular,11,6,2004,11/6/2004,241106018
3,bos,2004,2005,regular,11,10,2004,11/10/2004,241110002
4,bos,2004,2005,regular,11,12,2004,11/12/2004,241112002
5,bos,2004,2005,regular,11,17,2004,11/17/2004,241117027
6,bos,2004,2005,regular,11,19,2004,11/19/2004,241119002
7,bos,2004,2005,regular,11,21,2004,11/21/2004,241121002
8,bos,2004,2005,regular,11,23,2004,11/23/2004,241123011
9,bos,2004,2005,regular,11,24,2004,11/24/2004,241124020
10,bos,2004,2005,regular,11,26,2004,11/26/2004,241126002
11,bos,2004,2005,regular,11,28,2004,11/28/2004,241128014
12,bos,2004,2005,regular,11,29,2004,11/29/2004,241129019
13,bos,2004,2005,regular,12,1,2004,12/1/2004,241201002
14,bos,2004,2005,regular,12,3,2004,12/3/2004,241203002
15,bos,2004,2005,regular,12,5,2004,12/5/2004,241205023
16,bos,2004,2005,regular,12,6,2004,12/6/2004,241206009
17,bos,2004,2005,regular,12,9,2004,12/9/2004,241209022
18,bos,2004,2005,regular,12,11,2004,12/11/2004,241211025
19,bos,2004,2005,regular,12,13,2004,12/13/2004,241213012
20,bos,2004,2005,regular,12,15,2004,12/15/2004,241215002
21,bos,2004,2005,regular,12,17,2004,12/17/2004,241217002
22,bos,2004,2005,regular,12,18,2004,12/18/2004,241218005
23,bos,2004,2005,regular,12,21,2004,12/21/2004,241221014
24,bos,2004,2005,regular,12,22,2004,12/22/2004,241222002
25,bos,2004,2005,regular,12,26,2004,12/26/2004,241226024
26,bos,2004,2005,regular,12,28,2004,12/28/2004,241228006
27,bos,2004,2005,regular,12,29,2004,12/29/2004,241229029
28,bos,2004,2005,regular,12,31,2004,12/31/2004,241231002
29,bos,2004,2005,regular,1,2,2005,1/2/2005,250102008
30,bos,2004,2005,regular,1,3,2005,1/3/2005,250103002
31,bos,2004,2005,regular,1,5,2005,1/5/2005,250105002
32,bos,2004,2005,regular,1,7,2005,1/7/2005,250107002
33,bos,2004,2005,regular,1,8,2005,1/8/2005,250108004
34,bos,2004,2005,regular,1,10,2005,1/10/2005,250110002
35,bos,2004,2005,regular,1,12,2005,1/12/2005,250112028
36,bos,2004,2005,regular,1,14,2005,1/14/2005,250114002
37,bos,2004,2005,regular,1,19,2005,1/19/2005,250119002
38,bos,2004,2005,regular,1,21,2005,1/21/2005,250121017
39,bos,2004,2005,regular,1,22,2005,1/22/2005,250122001
40,bos,2004,2005,regular,1,25,2005,1/25/2005,250125030
41,bos,2004,2005,regular,1,26,2005,1/26/2005,250126002
42,bos,2004,2005,regular,1,28,2005,1/28/2005,250128002
43,bos,2004,2005,regular,1,29,2005,1/29/2005,250129004
44,bos,2004,2005,regular,1,31,2005,1/31/2005,250131002
45,bos,2004,2005,regular,2,2,2005,2/2/2005,250202002
